photo_id,local_path,evaluation_category
PFaR9vKncyM,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\PFaR9vKncyM.jpg,horses
wcL2JgX-s4c,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\wcL2JgX-s4c.jpg,horses
dxZfq6Xuz5c,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\dxZfq6Xuz5c.jpg,horses
OYwAuYE8YHQ,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\OYwAuYE8YHQ.jpg,horses
M35DI6c9zPQ,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\M35DI6c9zPQ.jpg,horses
ewsXphO8ovw,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\ewsXphO8ovw.jpg,horses
u-s2k6UgFDA,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\u-s2k6UgFDA.jpg,horses
uwEt4grBcdo,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\uwEt4grBcdo.jpg,horses
7U8tMpT_xgY,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\7U8tMpT_xgY.jpg,horses
VA7NdRPTQX8,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\VA7NdRPTQX8.jpg,horses
7b9jYdIQq1c,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\7b9jYdIQq1c.jpg,horses
PwYKS1pSnFI,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\PwYKS1pSnFI.jpg,horses
gpNVRerzFao,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\gpNVRerzFao.jpg,horses
dfXDeGpXhdE,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\dfXDeGpXhdE.jpg,horses
L5eAUfaiZLo,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\L5eAUfaiZLo.jpg,horses
TKzn-Y9-QWo,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\TKzn-Y9-QWo.jpg,horses
qcQ9GXIJKe4,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\qcQ9GXIJKe4.jpg,horses
7jXA55Tl4xU,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\7jXA55Tl4xU.jpg,horses
j70nuOZ1Kqo,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\j70nuOZ1Kqo.jpg,horses
tolcU--dvuw,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\tolcU--dvuw.jpg,horses
AnDpaFc1K3g,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\AnDpaFc1K3g.jpg,horses
pvN2u4wDsZI,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\pvN2u4wDsZI.jpg,horses
llTLNIFEgZ8,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\llTLNIFEgZ8.jpg,horses
52P44moXNAQ,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\52P44moXNAQ.jpg,horses
96LE5SPjpxo,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\96LE5SPjpxo.jpg,horses
caEWN2AZLLE,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\caEWN2AZLLE.jpg,horses
kTdAQshXi-4,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\kTdAQshXi-4.jpg,horses
APN42hUt3c8,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\APN42hUt3c8.jpg,horses
eEDjM06CJog,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\eEDjM06CJog.jpg,horses
8SivQyBVe2A,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\8SivQyBVe2A.jpg,horses
Ejw7WTnFPYI,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\Ejw7WTnFPYI.jpg,horses
QNJdCsluIoI,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\QNJdCsluIoI.jpg,horses
x8PAcYN9lHI,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\x8PAcYN9lHI.jpg,horses
N-bNpRhmh6w,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\N-bNpRhmh6w.jpg,horses
P896nPJ-BOQ,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\P896nPJ-BOQ.jpg,horses
z6d9fVA__j4,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\z6d9fVA__j4.jpg,horses
q21lIp5i3mM,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\q21lIp5i3mM.jpg,horses
YnfbA6-67MQ,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\YnfbA6-67MQ.jpg,horses
U-ROch-TGZg,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\U-ROch-TGZg.jpg,horses
mB5wa5ccdW4,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\mB5wa5ccdW4.jpg,horses
4BBubjsxFvc,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\4BBubjsxFvc.jpg,horses
qzw-3kVDSoI,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\qzw-3kVDSoI.jpg,horses
SuqciLTLPgk,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\SuqciLTLPgk.jpg,horses
Nw3N66qyd2o,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\Nw3N66qyd2o.jpg,horses
LWVIR87DHPY,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\LWVIR87DHPY.jpg,horses
Qh_BR0mlHE8,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\Qh_BR0mlHE8.jpg,horses
cWamNu1dZtQ,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\cWamNu1dZtQ.jpg,horses
2tLFuktLKmA,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\2tLFuktLKmA.jpg,horses
XoZb_2iuC9c,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\XoZb_2iuC9c.jpg,horses
DS-5gJa0kic,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\DS-5gJa0kic.jpg,horses
QT4NWwel8Ok,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\QT4NWwel8Ok.jpg,horses
uwbKs1Metf8,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\uwbKs1Metf8.jpg,horses
aQwsh6Zybxc,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\aQwsh6Zybxc.jpg,horses
Kuv2iYmMxXQ,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\Kuv2iYmMxXQ.jpg,horses
qgD1N9Ck0xU,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\qgD1N9Ck0xU.jpg,horses
vSAz5cLGEUI,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\vSAz5cLGEUI.jpg,horses
j3NQl-B0R1U,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\j3NQl-B0R1U.jpg,horses
N3NYflyZCd0,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\N3NYflyZCd0.jpg,horses
WF90DWbHhvc,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\WF90DWbHhvc.jpg,horses
eVAXpfCJXN8,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\eVAXpfCJXN8.jpg,horses
JAX385_1OXo,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\JAX385_1OXo.jpg,horses
HKgOjt-xP0I,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\HKgOjt-xP0I.jpg,horses
VLgCfG40Reg,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\data\images\unsplash\VLgCfG40Reg.jpg,horses
