photo_id,local_path,evaluation_category
boats__1,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\1.jpg,boats
boats__10,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\10.jpg,boats
boats__11,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\11.jpg,boats
boats__12,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\12.jpg,boats
boats__13,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\13.jpg,boats
boats__139,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\139.jpg,boats
boats__140,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\140.jpg,boats
boats__15,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\15.jpg,boats
boats__16,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\16.jpg,boats
boats__17,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\17.jpg,boats
boats__18,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\18.jpg,boats
boats__19,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\19.jpg,boats
boats__2,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\2.jpg,boats
boats__20,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\20.jpg,boats
boats__21,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\21.jpg,boats
boats__22,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\22.jpg,boats
boats__23,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\23.jpg,boats
boats__25,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\25.jpg,boats
boats__3,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\3.jpg,boats
boats__33,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\33.jpg,boats
boats__34,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\34.jpg,boats
boats__35,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\35.jpg,boats
boats__37,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\37.jpg,boats
boats__38,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\38.jpg,boats
boats__39,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\39.jpg,boats
boats__4,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\4.jpg,boats
boats__40,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\40.jpg,boats
boats__44,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\44.jpg,boats
boats__45,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\45.jpg,boats
boats__46,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\46.jpg,boats
boats__47,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\47.jpg,boats
boats__48,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\48.jpg,boats
boats__49,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\49.jpg,boats
boats__5,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\5.jpg,boats
boats__51,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\51.jpg,boats
boats__53,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\53.jpg,boats
boats__55,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\55.jpg,boats
boats__56,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\56.jpg,boats
boats__58,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\58.jpg,boats
boats__6,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\6.jpg,boats
boats__60,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\60.jpg,boats
boats__63,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\63.jpg,boats
boats__64,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\64.jpg,boats
boats__67,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\67.jpg,boats
boats__68,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\68.jpg,boats
boats__7,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\7.jpg,boats
boats__70,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\70.jpg,boats
boats__71,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\71.jpg,boats
boats__75,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\75.jpg,boats
boats__76,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\76.jpg,boats
boats__77,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\77.jpg,boats
boats__78,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\78.jpg,boats
boats__79,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\79.jpg,boats
boats__80,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\80.jpg,boats
boats__82,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\82.jpg,boats
boats__84,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\84.jpg,boats
boats__85,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\85.jpg,boats
boats__87,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\87.jpg,boats
boats__9,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\9.jpg,boats
boats__90,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\boats\90.jpg,boats
cars__2f1db2d4-cfc1-48d5-bf6c-ecb4e478a44b.jpg_2f1db2d4-cfc1-48d5-bf6c-ecb4e478a44b,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\controlled_dataset\cars\2f1db2d4-cfc1-48d5-bf6c-ecb4e478a44b.jpg_2f1db2d4-cfc1-48d5-bf6c-ecb4e478a44b.jpg,cars
