umap_n_neighbors,hdbscan_min_cluster_size,hdbscan_min_samples,n_clusters,n_noise,pct_noise,ARI,NMI,is_baseline
10,25,5,8,21,4.4,0.8524,0.8755,False
10,25,3,9,19,4.0,0.8115,0.8558,False
10,15,5,11,18,3.8,0.7982,0.8508,False
10,10,5,12,18,3.8,0.7842,0.8423,False
10,15,3,12,10,2.1,0.7842,0.847,False
15,5,10,8,11,2.3,0.7631,0.8506,False
15,10,10,8,11,2.3,0.7631,0.8506,False
15,15,10,8,11,2.3,0.7631,0.8506,False
10,15,10,8,7,1.5,0.7607,0.853,False
10,10,10,8,7,1.5,0.7607,0.853,False
10,5,10,8,7,1.5,0.7607,0.853,False
10,25,10,7,26,5.4,0.7581,0.8482,False
15,15,5,8,5,1.0,0.7527,0.8446,False
15,25,5,7,24,5.0,0.7526,0.8441,False
30,10,5,8,4,0.8,0.7522,0.841,False
30,15,5,8,4,0.8,0.7522,0.841,False
30,25,5,7,23,4.8,0.7513,0.8388,False
30,5,10,8,11,2.3,0.7485,0.834,False
30,10,10,8,11,2.3,0.7485,0.834,False
30,15,3,8,1,0.2,0.7463,0.84,False
30,10,3,8,1,0.2,0.7463,0.84,False
30,25,3,7,20,4.2,0.7458,0.8377,True
10,10,3,14,10,2.1,0.7329,0.825,False
15,25,3,8,23,4.8,0.7148,0.8231,False
15,10,5,10,18,3.8,0.7135,0.8211,False
30,5,5,12,17,3.5,0.7072,0.8113,False
10,5,5,19,20,4.2,0.7035,0.7913,False
30,15,10,7,5,1.0,0.7019,0.8193,False
15,25,10,6,26,5.4,0.7012,0.8207,False
30,25,10,6,24,5.0,0.7007,0.8158,False
10,5,3,22,8,1.7,0.6874,0.786,False
15,10,3,11,11,2.3,0.6791,0.8129,False
15,15,3,11,11,2.3,0.6791,0.8129,False
15,5,5,14,17,3.5,0.6602,0.7898,False
30,5,3,16,26,5.4,0.6435,0.7805,False
15,5,3,19,16,3.3,0.6009,0.7654,False
