umap_n_neighbors,hdbscan_min_cluster_size,hdbscan_min_samples,n_clusters,n_noise,pct_noise,ARI,NMI,mean_purity
15,25,3,7,73,10.1,0.2283,0.313,0.545
10,10,3,20,153,21.2,0.2069,0.3413,0.548
15,25,5,7,198,27.5,0.2045,0.3134,0.567
30,25,5,4,77,10.7,0.2028,0.3315,0.616
15,15,5,12,169,23.4,0.2008,0.3136,0.545
15,15,3,11,90,12.5,0.1933,0.3039,0.588
30,25,10,6,190,26.4,0.1895,0.3059,0.548
30,5,3,33,216,30.0,0.1886,0.3576,0.583
30,15,3,12,198,27.5,0.1864,0.3059,0.551
30,15,5,10,219,30.4,0.1849,0.3153,0.593
10,10,5,20,190,26.4,0.1787,0.3316,0.563
30,15,10,9,241,33.4,0.1783,0.324,0.618
30,5,5,23,230,31.9,0.178,0.3404,0.572
30,10,5,15,225,31.2,0.1747,0.3271,0.587
30,10,3,18,237,32.9,0.1716,0.3314,0.565
30,10,10,11,261,36.2,0.1675,0.3371,0.629
15,10,3,20,172,23.9,0.1585,0.3199,0.604
30,5,10,14,311,43.1,0.1511,0.3498,0.651
15,10,5,18,224,31.1,0.1482,0.3149,0.567
10,5,3,42,144,20.0,0.1473,0.3411,0.583
10,5,10,18,265,36.8,0.1454,0.3343,0.577
10,5,5,27,214,29.7,0.1252,0.3251,0.59
15,5,5,30,230,31.9,0.1143,0.3155,0.627
10,25,10,3,40,5.5,0.1067,0.3081,0.664
10,15,10,3,40,5.5,0.1067,0.3081,0.664
15,5,3,41,198,27.5,0.1046,0.3363,0.605
30,25,3,3,23,3.2,0.1022,0.3059,0.673
10,10,10,4,48,6.7,0.1017,0.3141,0.636
10,25,3,3,0,0.0,0.0979,0.3198,0.664
10,25,5,3,18,2.5,0.0966,0.3169,0.664
10,15,3,4,1,0.1,0.0945,0.3307,0.641
10,15,5,4,18,2.5,0.0932,0.3268,0.636
15,10,10,2,3,0.4,0.036,0.1766,0.556
15,5,10,2,3,0.4,0.036,0.1766,0.556
15,15,10,2,3,0.4,0.036,0.1766,0.556
15,25,10,2,3,0.4,0.036,0.1766,0.556
