photo_id,path,angle_label,width,height,file_size,split,extension
90__none__84631,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\84631.jpeg,90,256,144,5307,none,.jpeg
130__none__390127,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\390127.jpeg,130,256,192,3989,none,.jpeg
180__none__271303,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\271303.jpeg,180,256,144,3270,none,.jpeg
130__none__275166,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\275166.jpeg,130,256,144,5482,none,.jpeg
90__none__158672,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\158672.jpeg,90,256,192,5240,none,.jpeg
0__none__129829,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\129829.jpeg,0,256,144,2561,none,.jpeg
180__none__378486,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\378486.jpeg,180,256,144,3647,none,.jpeg
90__none__107266,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\107266.jpeg,90,256,192,5172,none,.jpeg
130__none__88962,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\88962.jpeg,130,256,144,4294,none,.jpeg
270__none__259367,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\259367.jpeg,270,256,144,3931,none,.jpeg
180__none__317135,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\317135.jpeg,180,256,192,6244,none,.jpeg
0__none__298567,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\298567.jpeg,0,256,144,2758,none,.jpeg
270__none__285874,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\285874.jpeg,270,256,115,5283,none,.jpeg
0__none__488037,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\488037.jpeg,0,256,192,7445,none,.jpeg
130__none__94170,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\94170.jpeg,130,256,144,4510,none,.jpeg
130__none__383445,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\383445.jpeg,130,256,192,3446,none,.jpeg
180__none__117648,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\117648.jpeg,180,256,144,3474,none,.jpeg
130__none__469070,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\469070.jpeg,130,256,192,4785,none,.jpeg
180__none__87004,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\87004.jpeg,180,256,191,5731,none,.jpeg
180__none__217659,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\217659.jpeg,180,256,144,4191,none,.jpeg
0__none__264724,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\264724.jpeg,0,256,192,8775,none,.jpeg
0__none__100727,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\100727.jpeg,0,256,192,5914,none,.jpeg
90__none__148178,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\148178.jpeg,90,256,192,4608,none,.jpeg
90__none__210182,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\210182.jpeg,90,256,192,4849,none,.jpeg
270__none__383812,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\383812.jpeg,270,256,192,5422,none,.jpeg
130__none__365162,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\365162.jpeg,130,256,144,3832,none,.jpeg
270__none__354675,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\354675.jpeg,270,256,144,3605,none,.jpeg
130__none__123730,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\130\123730.jpeg,130,256,144,5119,none,.jpeg
180__none__87123,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\87123.jpeg,180,256,144,5184,none,.jpeg
90__none__243019,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\243019.jpeg,90,256,144,5201,none,.jpeg
0__none__316543,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\316543.jpeg,0,256,192,6706,none,.jpeg
90__none__93961,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\90\93961.jpeg,90,256,192,5728,none,.jpeg
270__none__231732,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\270\231732.jpeg,270,256,144,4888,none,.jpeg
180__none__82400,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\82400.jpeg,180,256,144,4347,none,.jpeg
0__none__414112,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\414112.jpeg,0,256,144,2636,none,.jpeg
0__none__483195,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\0\483195.jpeg,0,256,192,5897,none,.jpeg
180__none__127908,C:\Users\aryan\OneDrive\Desktop\project_new\semantic-photo-intelligence\car_angle_dataset\180\127908.jpeg,180,256,192,4912,none,.jpeg
