umap_n_neighbors,hdbscan_min_cluster_size,hdbscan_min_samples,n_clusters,n_noise,pct_noise,ARI,NMI,is_baseline
15,25,10,7,33,1.1,0.8122,0.8134,False
10,25,10,6,23,0.8,0.8104,0.8075,False
10,15,10,8,23,0.8,0.8063,0.8045,False
10,5,10,12,10,0.3,0.8041,0.8031,False
10,10,10,12,10,0.3,0.8041,0.8031,False
30,5,10,11,13,0.4,0.8003,0.7989,False
30,10,10,11,13,0.4,0.8003,0.7989,False
30,25,3,9,38,1.3,0.7938,0.7962,False
15,25,3,11,89,3.0,0.7264,0.7375,False
15,25,5,11,105,3.5,0.7243,0.7351,False
15,15,5,17,92,3.1,0.7158,0.7282,False
15,15,10,17,98,3.3,0.7142,0.7265,False
30,15,10,14,67,2.2,0.7129,0.7261,False
15,5,10,18,80,2.7,0.7128,0.7276,False
30,15,5,14,54,1.8,0.7127,0.7257,False
30,25,5,13,78,2.6,0.7121,0.7234,False
30,25,10,12,115,3.8,0.7121,0.725,False
15,10,10,19,98,3.3,0.7108,0.7237,False
10,25,5,13,190,6.3,0.7081,0.7063,False
30,10,5,19,63,2.1,0.7071,0.7234,False
30,5,5,19,63,2.1,0.7071,0.7234,False
15,15,3,21,161,5.4,0.704,0.7083,False
15,10,5,30,217,7.2,0.699,0.7015,True
15,10,3,33,217,7.2,0.6988,0.6954,False
15,5,5,39,222,7.4,0.6978,0.6927,False
30,15,3,19,132,4.4,0.6974,0.6988,False
10,25,3,15,119,4.0,0.6952,0.6953,False
30,10,3,24,124,4.1,0.6946,0.7014,False
10,15,5,20,159,5.3,0.6884,0.6922,False
10,15,3,22,137,4.6,0.6884,0.6907,False
10,10,5,35,150,5.0,0.6809,0.6805,False
10,5,5,47,166,5.5,0.6802,0.6721,False
10,10,3,37,134,4.5,0.6797,0.679,False
30,5,3,84,477,15.9,0.4152,0.5212,False
15,5,3,106,496,16.5,0.4084,0.5035,False
10,5,3,158,598,19.9,0.1916,0.431,False
